Cohort ID	Likelihood Weights	Mortality Prob
0	5.599996894960957e-53	0.1334044009405148
1	5.770878818946562e-124	0.19406489868843163
2	1.4441787222168387e-08	0.05002287496346898
3	2.30482124754475e-17	0.11046651452636796
4	0.00831893648078879	0.07935117816342262
5	0.023264738860560248	0.06846771895375957
6	2.442808875481898e-06	0.08725204227553418
7	6.121972149549569e-34	0.11911214540860955
8	2.2985037024585637e-47	0.129353494846134
9	2.1426305663297792e-70	0.1577633468006714
10	4.530951273390368e-57	0.13383890288065897
11	2.2366367556331222e-145	0.1870439000793519
12	5.195260789311011e-07	0.09089044994630349
13	4.904433899736994e-183	0.2256234872781891
14	0.00019559032248879537	0.055477518639585235
15	3.509337548422878e-133	0.18409350203568048
16	1.5643216666518351e-46	0.1334609604734254
17	1.4456478405585903e-86	0.16173796568915033
18	0.01943807427299723	0.07807738771904676
19	3.8189798573434996e-05	0.08962029781697577
20	2.2256452993559713e-158	0.21014891373510736
21	1.4082423681333059e-234	0.24365231514387953
22	1.194168821163274e-27	0.11268483563184857
23	5.702138363919382e-134	0.1884645231338628
24	4.830138431992649e-184	0.22527783045920768
25	2.9096933622405818e-192	0.22892133270076948
26	0.00031394991697604577	0.0670088422739556
27	0.0002486092955205954	0.05781095664657648
28	1.3333751874474554e-06	0.08396608391291378
29	2.600103669713456e-193	0.22562850068588264
30	0.022041464549941818	0.06966936676661002
31	3.6713472935349604e-37	0.13422152500101042
32	7.86308750866037e-236	0.24157790603010038
33	2.7053426593638646e-76	0.15663305699460342
34	9.201917553416434e-149	0.18837542279009467
35	1.704018010463029e-21	0.1131031262012126
36	3.1792529291914653e-108	0.18730018553631672
37	3.5418353598877334e-174	0.21692513437947458
38	1.196149108930262e-07	0.05365765546883836
39	3.171787532055644e-141	0.20002886298899353
40	2.3461082587826142e-238	0.24777221778129893
41	3.5248879789005157e-190	0.1996331308759679
42	4.116690534310424e-19	0.10608879841288105
43	3.2202397118543586e-191	0.20785586569029774
44	0.015349347309906032	0.07064520131552841
45	8.748999833056521e-48	0.13957870523518104
46	4.904433899736994e-183	0.2317191006186191
47	2.539154664004905e-24	0.1087228296747359
48	1.6639495618856997e-25	0.10755506771726975
49	0.014282132896593224	0.07600571442365554
50	1.2323750574291481e-05	0.05387339157405942
51	6.48905752332672e-116	0.18576710658797818
52	5.153300136518267e-10	0.09232562320001181
53	8.375386287461886e-15	0.10310933187444525
54	8.077454772183391e-62	0.14831463185606766
55	0.015293795735079519	0.06067250902341608
56	3.618087506702812e-90	0.16482352109840262
57	0.0005559488522391288	0.07934571498116204
58	6.645982857544249e-82	0.16786110738065685
59	9.496087764407998e-128	0.18995167200418622
60	0.013220527394659847	0.07046688576556517
61	6.29898145707117e-41	0.13281119756391369
62	3.679447689538913e-137	0.18888003154554905
63	5.0886578610027895e-39	0.13283585390538055
64	0.004234664808269821	0.05999069178921743
65	2.1348883127400877e-77	0.15717928118310232
66	2.245900296014656e-112	0.1827589290439578
67	2.75649766849935e-63	0.15297782241166172
68	2.1947506130480617e-222	0.2389189511981627
69	8.452894812072715e-85	0.1673110081003986
70	4.904433899736994e-183	0.2306803830575767
71	0.015349347309906032	0.07749494082924752
72	0.0016362209947156537	0.07785526945015171
73	1.0364822662483992e-155	0.21147825774190476
74	6.95778102657756e-43	0.12953536739710672
75	0.00030355842474099286	0.08307083942338656
76	4.717339196606147e-213	0.23550171607920678
77	3.230358053576139e-32	0.11955317194910131
78	1.3722645681988502e-139	0.2001624206272311
79	5.702138363919382e-134	0.19519959707009032
80	2.007715289833416e-195	0.22666121824116198
81	3.6821027093236344e-87	0.17473444141112177
82	1.740532622534965e-157	0.20018848680546747
83	1.34807309802566e-28	0.11977966839556851
84	1.253577753544352e-19	0.10398557835300522
85	4.7071589533578446e-185	0.22917724363921338
86	3.254198953907592e-51	0.13561823797425898
87	2.485819712138742e-233	0.2429680094296771
88	1.1231354206877528e-111	0.18268829956368965
89	6.57175389286891e-109	0.17433914404182438
90	0.007467733011317942	0.07294919459067505
91	2.600103669713456e-193	0.23989785174141426
92	8.718598402843113e-67	0.1399824266959881
93	5.876489075073686e-89	0.16567792287742636
94	1.365263048888348e-33	0.13162736055225624
95	5.153300136518267e-10	0.09740539604860554
96	4.324833847007398e-177	0.23067590411245076
97	9.19812270676004e-81	0.16473589733445718
98	5.671033891174706e-07	0.0505740654062318
99	5.579171948323176e-111	0.17342898272414478
100	1.0170122229626311e-26	0.11532898035441924
101	1.9021085719777073e-71	0.15541162045152185
102	3.816365374128856e-189	0.22718841986215493
103	1.194168821163274e-27	0.12145395200049997
104	1.251234196938339e-198	0.23170703018395983
105	5.194078634367169e-97	0.17467202315836056
106	6.5328818868626915e-06	0.05316424856931126
107	2.485819712138742e-233	0.23588744674875228
108	2.2366367556331222e-145	0.1881793835033848
109	4.326800154659795e-237	0.2494645700902961
110	2.442808875481898e-06	0.08446810166906571
111	2.442808875481898e-06	0.07742714992577555
112	2.0926368233714065e-228	0.2365190926074327
113	8.457452263645036e-119	0.18936363229798003
114	0.02364662662044047	0.0632000345444125
115	5.958738899063712e-154	0.20109261052049326
116	1.0364822662483992e-155	0.2007752376922493
117	4.511564219335668e-204	0.23460490710929666
118	1.740532622534965e-157	0.19230495172569434
119	0.022628028257059604	0.07485419239443294
120	3.4419897822355744e-08	0.05397602676795912
121	0.00011870413931075516	0.05524219737554386
122	2.2381205653610502e-08	0.05566129760415892
123	7.954774961241495e-09	0.09924221352060919
124	4.7071589533578446e-185	0.22200558973657764
125	4.071015123856365e-74	0.1577662128683306
126	1.2779292273926513e-92	0.1605643957371532
127	4.823221042570768e-180	0.21840617847192118
128	0.00030355842474099286	0.07483466302398223
129	2.0897769563966213e-16	0.10583673580222791
130	5.28883174234255e-92	0.16715185429165758
131	1.206598172164099e-209	0.2439191496639349
132	1.739308097394903e-94	0.162206043851142
133	2.2381205653610502e-08	0.053729457874588604
134	1.351528261625774e-166	0.2101265345361233
135	1.4918026029405988e-10	0.09659485476820409
136	1.3490983183989128e-156	0.21142103912375582
137	1.5643216666518351e-46	0.12757212881283436
138	1.0444845895127116e-199	0.22270837091188572
139	9.194252767049685e-135	0.1994243285474369
140	5.6432670844771764e-86	0.1612480467980838
141	0.0008123645355816833	0.07729104513213701
